date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:23:35	43107/43107	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2023:23:34%20GMT	https://www.zanroo.com/category/inzight/case-inzight/	/home/boss/websites/Thailanda/www.zanroo.com/category/inzight/case-inzight/index.html	(from https://www.zanroo.com/)
01:23:38	58231/58231	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2023:23:38%20GMT	https://www.zanroo.com/about/	/home/boss/websites/Thailanda/www.zanroo.com/about/index.html	(from https://www.zanroo.com/)
01:23:43	61858/61858	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2023:23:42%20GMT	https://www.zanroo.com/about/work-with-us/	/home/boss/websites/Thailanda/www.zanroo.com/about/work-with-us/index.html	(from https://www.zanroo.com/)
01:23:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jan%202018%2023:23:45%20GMT	https://www.zanroo.com/products/market%20benchmark	/home/boss/websites/Thailanda/www.zanroo.com/products/market%20benchmark	(from https://www.zanroo.com/)
01:23:47	7877/7877	---M--	200	added ('OK')	image/png	etag:%2258efa37a-1ec5%22	https://www.zanroo.com/wp-content/uploads/2017/03/footer-iso.png	/home/boss/websites/Thailanda/www.zanroo.com/wp-content/uploads/2017/03/footer-iso.png	(from https://www.zanroo.com/)
01:23:49	1311/1311	---MCZ	200	added ('OK')	text/css	etag:W/%2258e4671a-51f%22	https://www.zanroo.com/wp-content/plugins/wr-megamenu/themes/default/default.css?ver=1.0	/home/boss/websites/Thailanda/www.zanroo.com/wp-content/plugins/wr-megamenu/themes/default/default5152.css	(from https://www.zanroo.com/)
01:23:49	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jan%202018%2023:23:49%20GMT	https://www.zanroo.com/products/brand-evalution/	/home/boss/websites/Thailanda/www.zanroo.com/products/brand-evalution/index.html	(from https://www.zanroo.com/)
01:23:49	27748/27748	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258e4671a-6c64%22	https://www.zanroo.com/wp-content/plugins/wr-megamenu/assets/3rd-party/bs3/bootstrap/js/bootstrap_frontend.min.js?ver=3.0.2	/home/boss/websites/Thailanda/www.zanroo.com/wp-content/plugins/wr-megamenu/assets/3rd-party/bs3/bootstrap/js/bootstrap_frontend.min5b75.js	(from https://www.zanroo.com/)
01:23:50	12514/12514	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258e46719-30e2%22	https://www.zanroo.com/wp-content/plugins/wr-megamenu/assets/js/frontend.js	/home/boss/websites/Thailanda/www.zanroo.com/wp-content/plugins/wr-megamenu/assets/js/frontend.js	(from https://www.zanroo.com/)
01:23:50	1398/1398	---MCZ	200	added ('OK')	application/javascript	etag:W/%225835396a-576%22	https://www.zanroo.com/wp-includes/js/wp-embed.min.js?ver=4.8.4	/home/boss/websites/Thailanda/www.zanroo.com/wp-includes/js/wp-embed.minee45.js	(from https://www.zanroo.com/)
01:23:51	349/349	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258efa08e-15d%22	https://www.zanroo.com/wp-content/plugins/sitepress-multilingual-cms/res/js/sitepress.js?ver=4.8.4	/home/boss/websites/Thailanda/www.zanroo.com/wp-content/plugins/sitepress-multilingual-cms/res/js/sitepressee45.js	(from https://www.zanroo.com/)
01:23:51	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jan%202018%2023:23:51%20GMT	https://www.zanroo.com/products/campaign-management/	/home/boss/websites/Thailanda/www.zanroo.com/products/campaign-management/index.html	(from https://www.zanroo.com/)
01:23:51	11400/11400	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258cf94bc-2c88%22	https://www.zanroo.com/wp-content/plugins/wysija-newsletters/js/validate/languages/jquery.validationEngine-en.js?ver=2.7.8	/home/boss/websites/Thailanda/www.zanroo.com/wp-content/plugins/wysija-newsletters/js/validate/languages/jquery.validationEngine-enb246.js	(from https://www.zanroo.com/)
01:23:52	71745/71745	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258cf94bc-11841%22	https://www.zanroo.com/wp-content/plugins/wysija-newsletters/js/validate/jquery.validationEngine.js?ver=2.7.8	/home/boss/websites/Thailanda/www.zanroo.com/wp-content/plugins/wysija-newsletters/js/validate/jquery.validationEngineb246.js	(from https://www.zanroo.com/)
01:23:52	66/66	---M-Z	200	added ('OK')	text/plain	etag:%223f-53f9ff0296137%22	http://s7.addthis.com/robots.txt		(from http://www.fourleaf.life/en/)
01:23:53	3171/3171	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258cf94bb-c63%22	https://www.zanroo.com/wp-content/plugins/wysija-newsletters/js/front-subscribers.js?ver=2.7.8	/home/boss/websites/Thailanda/www.zanroo.com/wp-content/plugins/wysija-newsletters/js/front-subscribersb246.js	(from https://www.zanroo.com/)
01:24:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jan%202018%2023:23:54%20GMT	https://www.zanroo.com/homepage/brand-evaluation/	/home/boss/websites/Thailanda/www.zanroo.com/homepage/brand-evaluation/index.html	(from https://www.zanroo.com/)
01:24:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jan%202018%2023:23:52%20GMT	https://www.zanroo.com/products/demand-tracking/	/home/boss/websites/Thailanda/www.zanroo.com/products/demand-tracking/index.html	(from https://www.zanroo.com/)
01:24:35	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jan%202018%2023:23:54%20GMT	https://www.zanroo.com/homepage/industry-competition/	/home/boss/websites/Thailanda/www.zanroo.com/homepage/industry-competition/index.html	(from https://www.zanroo.com/)
01:24:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jan%202018%2023:23:55%20GMT	https://www.zanroo.com/homepage/campaign-optimization/	/home/boss/websites/Thailanda/www.zanroo.com/homepage/campaign-optimization/index.html	(from https://www.zanroo.com/)
01:24:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jan%202018%2023:24:36%20GMT	https://www.zanroo.com/homepage/influencer-analytics/	/home/boss/websites/Thailanda/www.zanroo.com/homepage/influencer-analytics/index.html	(from https://www.zanroo.com/)
